Nama Tempat,Jenis Tempat uc,Alamat,Jam Operasional,Rating,Jumlah Review,telepon,Ketersediaan Telepon,Website,Latitude,Longitude,Ketersediaan Akses,Aksesibilitas Difabel
GEREJA BETHEL TABERNAKEL IMMANUEL GBT,Gereja Pantekosta,"Jl. A. Yani No.265, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",Tutup,"4,4",16,"
(022) 7234567",Ada,Tersedia,-6.9145427,107.6318545,Aksesibilitas Tersedia,[]
GPIB Maranatha Bandung,Gereja Protestan,"Jl. Taman Cibeunying Utara No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",09.00 hingga 17.00,"4,8",286,"
(022) 7271563",Ada,Tersedia,-6.9071617,107.6265027,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Pasundan Jemaat Ciwidey,Gereja,"VFW7+C47, Ciwidey, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973",,"4,8",12,,Tidak Ada ,Tidak Tersedia,-7.1039698,107.462785,Aksesibilitas Tersedia,[]
GBI ROCK BANDUNG,Gereja Kristen,"Convention Hall, Landmark, Braga, Sumurbandung, Bandung City, West Java 40111",Tutup,"4,8",36,"
(022) 4260611",Ada,Tersedia,-6.9157253,107.6087822,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
HKBP Jalan Lurah,Gereja Lutheran,"Jl. Lurah No.253, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40523",,"4,6",126,"
(022) 6632024",Ada,Tersedia,-6.8755349,107.5421355,Aksesibilitas Tersedia,[]
Gereja Kristen Jawa Bandung,Gereja Protestan,"Jl. Merdeka No.28, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",09.00 hingga 21.00,"4,8",148,"
(022) 4203106",Ada,Tersedia,-6.9119042,107.6107257,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GPdI LK Bandung (Gereja Pantekosta di Indonesia Lengkong Kecil),Gereja Pantekosta,"Jl. Lengkong Kecil No.34-36, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",Tutup,"4,5",55,,Tidak Ada ,Tidak Tersedia,-6.9234223,107.6138491,Aksesibilitas Tersedia,[]
HKBP Ressort Cimahi Jl. Sisingamangaraja,Gereja Lutheran,"Jl. Sisingamangaraja Kel.Padasuka No.174, Setiamanah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40524",,"4,6",204,"
(022) 6646339",Ada,Tersedia,-6.8755656,107.5368173,Aksesibilitas Tersedia,[]
Church In Bandung,Gereja,"3JH9+7VQ, Jl. Katapang, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,"4,9",45,"
(022) 7318316",Ada,Tersedia,-6.9217783,107.6197254,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKI Sudirman,Gereja Kristen,"Jl. Jend. Sudirman No.638, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183",,"4,6",11,"
(022) 6002374",Ada,Tidak Tersedia,-6.9172294,107.5777119,Aksesibilitas Tersedia,[]
GKI Pasirkaliki di Jalan Surya Sumantri,Gereja,"Jl. Prof. drg. Soeria Soemantri No.83, RW.01, Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat 40164",08.00 hingga 16.00,"4,5",4,"
(022) 2012354",Ada,Tersedia,-6.8845582,107.5812412,Aksesibilitas Tersedia,[]
GPIB Imanuel Cimahi,Gereja Protestan,"Jl. Pasir Kumeli No.149 A, Baros, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40521",Buka 24 jam,"4,7",138,"
(022) 6659144",Ada,Tersedia,-6.8892445,107.5415932,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Bethel Indonesia Kota Baru Parahyangan,Gereja Kristen,"Jl. Wangsaniaga Wetan No.28, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,9",14,,Tidak Ada ,Tidak Tersedia,-6.8594888,107.4829247,Aksesibilitas Tersedia,[]
GPIB Bethel Bandung,Gereja,"Jl. Wastukencana No.1, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",Buka 24 jam,"4,8",224,"
(022) 4201794",Ada,Tersedia,-6.9136532,107.608698,Aksesibilitas Tersedia,[]
Gereja Kristen Indonesia Maulana Yusuf,Gereja Presbiterian,"Jl. Maulana Yusuf No.20, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",Tutup,"4,8",587,"
(022) 4232907",Ada,Tersedia,-6.9007873,107.6137771,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GKO Sarijadi,Gereja,"4H9G+H8P, Sarijadi, Kec. Sukasari, Kota Bandung, Jawa Barat 40151",Tutup,"4,6",34,"
(022) 2020604",Ada,Tidak Tersedia,-6.8810297,107.5758379,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GJKI Motekar Church,Gereja,"No Jl. Kolonel Masturi No.611, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",,"4,8",22,,Tidak Ada ,Tersedia,-6.8389919,107.5519874,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GPdI Bukit Hermon,Gereja Pantekosta,"Jl. Mahar Martanegara No.103, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40522",,"4,7",137,"
(022) 20560199",Ada,Tersedia,-6.8992965,107.5517264,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GMS Bandung,Gereja,"istana bandung electronic center, Istana BEC, Jl. Purnawarman lantai 3A, Babakanciamis, Sumurbandung, Bandung City, West Java 40117",09.00 hingga 16.30,"4,9",125,"
(021) 30020080",Ada,Tersedia,-6.9078216,107.6087898,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Jemaat Kristus Indonesia,Gereja,"Jl. Luna No.19, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",,"4,3",3,,Tidak Ada ,Tidak Tersedia,-6.9200811,107.5909561,Aksesibilitas Tersedia,[]
GII Hok Im Tong • Batununggal,Gereja Evangelis,"Jl. Batununggal Indah II No.50, Mengger, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40267",Tutup,"4,7",54,,Tidak Ada ,Tidak Tersedia,-6.9632753,107.6251629,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Katedral Bandung, Santo Petrus",Katedral Katolik,"Jl. Merdeka No.14, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",08.00 hingga 18.00,"4,8",5.123,"
(022) 4235537",Ada,Tersedia,-6.9148463,107.6106056,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GRII Bandung,Gereja Aliran Baru,"Jl. Moch. Toha No.229, Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat 40255",,"4,7",217,"
(022) 5212211",Ada,Tersedia,-6.9463663,107.6091629,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GKI Kebon Jati,Gereja Protestan,"Jl. Kebon Jati No.100, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",,"4,8",289,"
(022) 4231063",Ada,Tidak Tersedia,-6.9160658,107.598979,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GPdI,Gereja Pantekosta,"Jl. Gempol Asri XIV No.1, Gempolsari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40215",Tutup,"4,8",9,"
0878-2360-0444",Ada,Tidak Tersedia,-6.9372944,107.5544044,Aksesibilitas Tersedia,[]
Gereja Penggerakan Kristus-Ibadah Pola Tubuh Kristus,Gereja,"Jl. Marjuk No.17, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",09.00 hingga 17.00,"4,7",15,"
(022) 87805066",Ada,Tidak Tersedia,-6.911459,107.602246,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKI Pasirkoja,Gereja Kristen,"Jl. Terusan Pasirkoja No.57, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40233",05.30 hingga 19.00,"4,6",30,"
(022) 6014272",Ada,Tersedia,-6.9266339,107.5953793,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Kristen Kalam Kudus (GKKK) Kopo Permai,Gereja Protestan,"Komplek Kopo Permai 3 Blok F14 No. 2, 4, Kabupaten Bandung, Jawa Barat 40227",,"4,9",17,,Tidak Ada ,Tersedia,-6.9661413,107.5883972,Aksesibilitas Tersedia,"['Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda', 'Tidak ada toilet khusus pengguna kursi roda']"
Community of Life GPPK Bandung,Gereja,"Jl. Raya Bukit Permata No.12 A Blok P 8, Tanimulya, Ngamprah, West Bandung Regency, West Java 40552",,"4,4",5,,Tidak Ada ,Tidak Tersedia,-6.8623655,107.519628,Aksesibilitas Tersedia,[]
GKI Pasteur,Gereja Protestan,"Jl. Pasteur No.12A, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",09.00 hingga 17.00,"4,7",151,"
(022) 2030027",Ada,Tersedia,-6.9001356,107.6027443,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kerasulan Baru Indonesia,Gereja Protestan,"Jl. Ir. H. Juanda No.7, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",07.30 hingga 17.30,"4,5",2,"
(022) 4203154",Ada,Tersedia,-6.9058452,107.6102835,Aksesibilitas Tersedia,[]
HKBP Bandung Reformanda,Gereja Lutheran,"Jl. Sumedang No.2, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",09.00 hingga 17.00,"4,8",132,"
(022) 7201940",Ada,Tersedia,-6.9158324,107.631053,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kemah Injil Indonesia,Gereja,"Jl. Cimanuk No.3, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",08.00 hingga 19.00,"5,0",23,"
(022) 4236934",Ada,Tidak Tersedia,-6.9049905,107.6201963,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Kristen Pasundan Awiligar,Gereja Kristen,"Jl. Awiligar Raya No.55, Cibeunying, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40191",,"4,5",33,,Tidak Ada ,Tidak Tersedia,-6.8807375,107.6369234,Aksesibilitas Tersedia,[]
GBI Bethel Paskal Hyper Square,Gereja Protestan,"Jl. Pasir Kaliki No.28 Block B1-3A, Ciroyom, Andir, Bandung City, West Java 40181",Tutup,"4,7",126,"
0813-2211-3301",Ada,Tersedia,-6.9150749,107.597088,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
POUK GKPO Lanud Sulaiman,Gereja Protestan,"Jl. Hercules 4 No.2, Sulaiman, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40229",18.30 hingga 20.30,"4,9",13,"
0812-9000-3132",Ada,Tersedia,-6.9855156,107.5687453,Aksesibilitas Tersedia,[]
GPIB SILIH ASIH BANDUNG,Gereja,"Jl. T. Kaktus No.15, Sukahaji, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40221",08.00 hingga 17.00,"5,0",21,,Tidak Ada ,Tidak Tersedia,-6.9348611,107.5822153,Aksesibilitas Tersedia,[]
GKPII EBENHAEZER,Gereja,"Jl. Moch. Toha No.293, Citeureup, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40258",Tutup,"3,0",2,"
0813-2219-4999",Ada,Tidak Tersedia,-6.9852745,107.6233511,Aksesibilitas Tersedia,[]
GMAHK Jemaat Parongpong,Gereja Advent Hari Ketujuh,"5HWH+F72, Cihanjuang Rahayu, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559",Tutup,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.8038368,107.5782417,Aksesibilitas Tersedia,[]
GSPDI Filadelfia Musa,Gereja,"3J42+5VP, Jl. Inhoftank, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235",08.00 hingga 05.00,"4,9",10,,Tidak Ada ,Tidak Tersedia,-6.9445464,107.6022126,Aksesibilitas Tersedia,[]
GPIB Sejahtera di Bandung,Gereja Protestan,"Jl. Malabar No.49, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,"4,9",41,,Tidak Ada ,Tidak Tersedia,-6.9244718,107.6243329,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GBI Baranangsiang,Gereja Pantekosta,"ITC Kosambi, Ruko, Jl. Baranang Siang No.8, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Tutup,"4,8",542,"
0878-1971-7181",Ada,Tersedia,-6.9187145,107.6205049,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GPIB Immanuel,Gereja,"No Jl. Raya Ciburuy-Padalarang No.185, Ciburuy, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,9",7,,Tidak Ada ,Tidak Tersedia,-6.8383854,107.4751275,Aksesibilitas Tersedia,[]
GKI Taman Cibunut,Gereja Presbiterian,"Jl. Van Deventer No.11, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",08.00 hingga 16.00,"4,8",279,"
(022) 4205541",Ada,Tersedia,-6.9171043,107.6154279,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Indonesia Arcamanik,Gereja Kristen,"Jl. Golf Bar. VIII Jl. Arcamanik Endah 29 Komplek, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",,"5,0",14,"
(022) 7276592",Ada,Tidak Tersedia,-6.9174855,107.6726365,Aksesibilitas Tersedia,[]
CLCC (City Light Community Church),Gereja,"Paris Van Java, PVJ Sky Level 53 Lantai S2, Jalan Sukajadi No 137, Sukabungah, Cipedes, Sukajadi, Bandung City, West Java 40162",,"4,8",179,"
(022) 82063883",Ada,Tersedia,-6.890935,107.595673,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Katolik Paroki Santo Laurentius, Sukajadi",Gereja Katolik,"Jl. Sukajadi No.223, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,"4,8",1.045,"
(022) 2038462",Ada,Tersedia,-6.875829,107.596044,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GII Hok Im Tong - Gardujati,Gereja Evangelis,"Jl. Gardujati No.51, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",08.00 hingga 17.00,"4,6",363,"
(022) 6015276",Ada,Tersedia,-6.918472,107.598232,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GPDI Permata Cimahi,Gereja,"Jl. Permata Raya No.18, Tanimulya, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",Tutup,"4,4",5,,Tidak Ada ,Tidak Tersedia,-6.8650906,107.5187649,Aksesibilitas Tersedia,[]
GII Hok Im Tong - Dago,Gereja Injil,"Jl. Cikapayang No.2 - 4, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",08.00 hingga 17.00,"4,8",355,"
(022) 2508196",Ada,Tersedia,-6.8986082,107.6119473,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"GMAHK Maranatha, Secapa AD",Gereja,"4HHX+P2P, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",Tutup,"4,8",6,,Tidak Ada ,Tidak Tersedia,-6.8706722,107.5975825,Aksesibilitas Tersedia,[]
GBKP Bandung Barat,Gereja,"Jl. Holis No.278 B, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",Tutup,"4,5",52,"
(022) 6045586",Ada,Tersedia,-6.9310621,107.5721195,Aksesibilitas Tersedia,[]
GPdI Haleluyah,Gereja Pantekosta,"Jl. Kolonel Masturi No.67, Cimahi, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40525",,"4,7",14,"
(022) 6650757",Ada,Tersedia,-6.8691512,107.5423108,Aksesibilitas Tersedia,[]
GBI Sukacita,Gereja,"Jl. Dipati Ukur No.80-84, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Tutup,"4,8",45,"
(022) 2500482",Ada,Tersedia,-6.888788,107.6159056,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Kristen Pantekosta Jemaat Rajawali,Gereja Pantekosta,"Jl. Rajawali Timur No.239, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40182",Tutup,"5,0",2,"
0813-2052-8054",Ada,Tidak Tersedia,-6.9141752,107.5793559,Aksesibilitas Tersedia,[]
"GEREJA HKBP Bandung, Resort Bandung",Gereja Lutheran,"Jl. L. L. R.E. Martadinata No.96, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",,"4,7",340,"
(022) 4211627",Ada,Tidak Tersedia,-6.908937,107.6244831,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Pasundan Jemaat Bandung,Gereja Kristen,"Jl. Kebon Jati No.108, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",,"4,9",41,"
(022) 4237083",Ada,Tersedia,-6.915981,107.5986643,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKI Guntur,Gereja Protestan,"Jl. Guntur No.13, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,"4,9",80,"
(022) 7306232",Ada,Tidak Tersedia,-6.9246073,107.6218135,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Immanuel (GKIm) Mesias,Gereja Kristen,"Jl. Pagarsih No.369, Babakan, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40222",,"4,9",10,"
(022) 6040516",Ada,Tersedia,-6.9236415,107.5816234,Aksesibilitas Tersedia,"[' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda', 'Tidak ada toilet khusus pengguna kursi roda']"
GPdI Padalarang,Gereja Pantekosta,"Jl. Raya Padalarang, Kertamulya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",Tutup,"4,8",23,,Tidak Ada ,Tersedia,-6.8459603,107.4895496,Aksesibilitas Tersedia,[]
BNKP Jemaat Bandung,Gereja,"Jl. Holis No.278D, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9309439,107.5717277,Aksesibilitas Tersedia,[]
GKPA Bandung,Gereja Protestan,"Jl. Kawaluyaan Indah Raya No.5B, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",,"4,9",11,,Tidak Ada ,Tidak Tersedia,-6.935064,107.6625911,Aksesibilitas Tersedia,[]
GPKdI Bethel,Gereja,"Jl. Raya Lembang No.134D, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",,"5,0",4,"
0812-1417-1019",Ada,Tidak Tersedia,-6.823412,107.6110369,Aksesibilitas Tersedia,[]
Gereja Isa Almasih,Gereja Kristus,"Jl. Lengkong Besar, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",Buka 24 jam,"4,8",101,,Tidak Ada ,Tersedia,-6.9286461,107.6127123,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Jemaat Kristus Indonesia (GJKI),Gereja,"Jl. Kol. Masturi No. 661, RT.01 / RW.01, Jambudipa, Kec. Cisarua, Kota Bandung, Jawa Barat 40551",,"4,9",23,"
(022) 2700816",Ada,Tidak Tersedia,-6.8386763,107.5520648,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GBI Stairway From Heaven,Gereja Evangelis,"Jl. Mekar Laksana No.8, Mekarwangi, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40237",08.00 hingga 15.30,"4,8",309,"
(022) 5225786",Ada,Tersedia,-6.9538614,107.6041844,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKPS Bandung,Gereja,"Jl. PDAM No.12, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163",Tutup,"5,0",14,,Tidak Ada ,Tidak Tersedia,-6.8924028,107.5863644,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GII Hok Im Tong - Kota Baru Parahyangan,Gereja Evangelis,"Jl. Parahyangan Raya No.Km 1.7, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,7",27,,Tidak Ada ,Tersedia,-6.8597374,107.4828507,Aksesibilitas Tersedia,[]
GSPDI IMMANUEL CIMAHI,Gereja,"4GHV+C8V, Jl. Pabrik Aci, Cimahi, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40525",,"4,4",5,,Tidak Ada ,Tidak Tersedia,-6.8713783,107.5432853,Aksesibilitas Tersedia,[]
GKKD Bandung Barat,Gereja Kristen,"4H4P+M5J, BTC Semi Basement, Jl. Pasteur, Pajajaran, Cicendo, Bandung City, West Java 40173",09.00 hingga 17.00,"5,0",4,"
(022) 7276825",Ada,Tersedia,-6.8932992,107.5853884,Aksesibilitas Tersedia,[]
GKI CIBEUREUM,Gereja Kristen,"4H27+FFJ, Campaka, Kec. Andir, Kota Bandung, Jawa Barat 40184",,"5,0",3,"
(022) 6027782",Ada,Tidak Tersedia,-6.8987948,107.5636501,Aksesibilitas Tersedia,[]
GKI Kota Baru Parahyangan,Gereja Aliran Baru,"Jl. Parahyangan Raya No.Kav 10C, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",Tutup,"5,0",5,"
(022) 6632812",Ada,Tersedia,-6.8653737,107.4701337,Aksesibilitas Tersedia,[]
GPIB Majelis Jemaat PNIEL,Gereja Protestan,"No Jl. Raya Dayeuhkolot No.409, Dayeuhkolot, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257",,"5,0",4,"
(022) 5224274",Ada,Tidak Tersedia,-6.9862245,107.6233755,Aksesibilitas Tersedia,[]
GKI Maulana Yusuf - Kawaluyaan,Organisasi Keagamaan,"Komplek permata kawaluyaan Ruko no 17-19, jalan Buntu No.17, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",08.00 hingga 16.00,"4,8",29,"
0821-2684-6080",Ada,Tersedia,-6.9316303,107.663792,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GPIB Wisma Asih Lembang,Gereja Protestan,"Jl. Maribaya No.93, Kayuambon, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",Tutup,"4,7",37,"
(022) 2787320",Ada,Tidak Tersedia,-6.8239285,107.6377558,Aksesibilitas Tersedia,[]
Gereja Kristen Kalam Kudus Pasundan,Gereja Protestan,"Jl. Pasundan No.78, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251","05.15 hingga 06.00,08.00 hingga 11.00","4,8",113,"
(022) 4233061",Ada,Tersedia,-6.9269092,107.6085005,Aksesibilitas Tersedia,[]
GKI Anugerah Bajem Sutami,Gereja,"Jl. Prof. Dr. Sutami No.52-54, Sukarasa, Kec. Sukasari, Kota Bandung, Jawa Barat 40152",Tutup,"5,0",14,,Tidak Ada ,Tidak Tersedia,-6.8776938,107.5881947,Aksesibilitas Tersedia,[]
Gereja Baptis Indonesia Batu Zaman,Gereja Baptis,"Jl. A. Yani No.249, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",,"5,0",25,"
(022) 7274655",Ada,Tersedia,-6.9151327,107.6306947,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak ada toilet khusus pengguna kursi roda']"
GBKP Bandung Timur,Gereja Protestan,"Jl. Kawaluyaan Raya No.10, Jatisari, Bandung, Jawa Barat, 40286",10.00 hingga 16.00,"4,8",21,"
(022) 7332385",Ada,Tersedia,-6.9377318,107.6621463,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Majelis Jemaat Gereja Protestan,Lembaga Swadaya Masyarakat (LSM),"4J43+J88, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",,"4,7",22,"
(022) 2031463",Ada,Tidak Tersedia,-6.8934744,107.6033146,Aksesibilitas Tersedia,[]
Pastoran St.Martinus Bandung,Rumah Pendeta Protestan,"Perumahan Kopo Permai 1, Blk. H No.4, Sukamenak, Margahayu, Bandung Regency, West Java 40227",07.30 hingga 12.00,"4,8",75,"
(022) 5404263",Ada,Tersedia,-6.9645848,107.5834733,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
